unused,R2 threshold,width V,slope mV per decade,i0 A,residual A per V,start V,Tafel R2,LSV R2,reported end V
0.000000000000000000e+00,9.020000000000000240e-01,3.299999999999998074e-02,3.643530764828157942e+01,3.351878645381206466e-08,9.490800310453138215e-05,4.099935333200011023e-02,9.037255052726705928e-01,9.579774527190488831e-01,7.399935333200008403e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.399999999999998163e-02,3.707295575564112511e+01,3.553212264927838453e-08,9.523436290819389653e-05,4.099935333200011023e-02,9.040759949248003968e-01,9.610404062647897039e-01,7.499935333200008492e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.499999999999998251e-02,3.749291030492931043e+01,3.689226609477241460e-08,9.709630921236019128e-05,4.099935333200011023e-02,9.070814117974652646e-01,9.605159937607679055e-01,7.599935333200008580e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.599999999999997646e-02,3.791879475190287252e+01,3.830104771712397239e-08,9.888968940343305760e-05,4.099935333200011023e-02,9.097620312363626782e-01,9.602764228309936811e-01,7.699935333200008669e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.699999999999997735e-02,3.841893906669860570e+01,3.999241202719708710e-08,1.001071520102393795e-04,4.099935333200011023e-02,9.113624779545891341e-01,9.617608730750702994e-01,7.799935333200008758e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.799999999999997824e-02,3.888541533674764850e+01,4.160544261212235152e-08,1.015615036756797353e-04,4.099935333200011023e-02,9.131946386615613642e-01,9.624128417781249167e-01,7.899935333200008847e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.899999999999997913e-02,3.915369632075775286e+01,4.255002167749350326e-08,1.045878376839009573e-04,4.099935333200011023e-02,9.167824486804064810e-01,9.557042954575584170e-01,7.999935333200008936e-02
0.000000000000000000e+00,9.020000000000000240e-01,3.999999999999997308e-02,3.955562686063231581e+01,4.398913918899933403e-08,1.064840235303467035e-04,4.099935333200011023e-02,9.188832922410421489e-01,9.554600672264792482e-01,8.099935333200009024e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.099999999999997397e-02,4.005004881833441743e+01,4.579538400456420141e-08,1.076286877584582371e-04,4.099935333200011023e-02,9.198057057015263105e-01,9.573138205462504713e-01,8.199935333200009113e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.199999999999997485e-02,4.047084451441108399e+01,4.736369864742006059e-08,1.093555539378034358e-04,4.099935333200011023e-02,9.214291414608520858e-01,9.574040880642505913e-01,8.299935333200009202e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.299999999999997574e-02,4.078794983774824345e+01,4.856580186661057760e-08,1.119542589960044720e-04,4.099935333200011023e-02,9.238913872387626292e-01,9.538683859129744036e-01,8.399935333200009291e-02
