Mode,Chronopotentiometry,,
Applied current (A),0.02,,
Applied potential (V),,,
Time (s),1800,,
Reference electrode potential (V vs. RHE),0.929,,
Working area (cm^2),2,,
Applied current density (mA/cm^2),10,,
Solution resistance (ohm),2.3,Compensation level (%),0
,,,
Time,Original Potential,Potential,
sec,V,"V vs. RHE, iR-corrected",
75.9,0.7868,1.7158,
76,0.7869,1.7159,
76.1,0.7869,1.7159,
76.2,0.7868,1.7158,
76.3,0.7868,1.7158,
76.4,0.7869,1.7159,
76.5,0.7869,1.7159,
76.6,0.7869,1.7159,
76.7,0.7869,1.7159,
76.8,0.7869,1.7159,
76.9,0.787,1.716,
77,0.787,1.716,
77.1,0.787,1.716,
77.2,0.7869,1.7159,
77.3,0.787,1.716,
77.4,0.787,1.716,
77.5,0.787,1.716,
77.6,0.787,1.716,
77.7,0.7871,1.7161,
77.8,0.787,1.716,
77.9,0.7871,1.7161,
78,0.7871,1.7161,
78.1,0.7871,1.7161,
78.2,0.787,1.716,
78.3,0.7871,1.7161,
78.4,0.7872,1.7162,
78.5,0.7872,1.7162,
78.6,0.7872,1.7162,
78.7,0.7871,1.7161,
78.8,0.7871,1.7161,
78.9,0.7871,1.7161,
79,0.7872,1.7162,
79.1,0.7872,1.7162,
79.2,0.7873,1.7163,
79.3,0.7872,1.7162,
79.4,0.7873,1.7163,
79.5,0.7873,1.7163,
79.6,0.7873,1.7163,
79.7,0.7874,1.7164,
79.8,0.7874,1.7164,
79.9,0.7873,1.7163,
80,0.7873,1.7163,
80.1,0.7874,1.7164,
80.2,0.7875,1.7165,
80.3,0.7875,1.7165,
80.4,0.7875,1.7165,
80.5,0.7875,1.7165,
80.6,0.7876,1.7166,
80.7,0.7876,1.7166,
80.8,0.7876,1.7166,
80.9,0.7875,1.7165,
81,0.7875,1.7165,
81.1,0.7875,1.7165,
81.2,0.7875,1.7165,
81.3,0.7875,1.7165,
81.4,0.7875,1.7165,
81.5,0.7876,1.7166,
81.6,0.7875,1.7165,
81.7,0.7875,1.7165,
81.8,0.7876,1.7166,
